Title,Year,Agency,Keywords
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.,2006,International Regional Science Review,evidence;economics;discussion;center;census;business;impact;working;economic;data
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data.  ,2006,Center for Economic Studies,economics;discussion;center;census;business;impact;economic;paper;working;data
"Participation in Export Markets and Plant Productivity in Los Angeles, 1987-1997. ",2008,Economic Geography,economics;discussion;data;center;census;business;impact;working;productivity;economic
Is There Really an Export-Wage Premium? A Case Study of Los Angeles using Matched Employer-Employee Data. ,2006,California Center for Population Research Working Paper.,economics;discussion;census;business;impact;economic;paper;center;working;data
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data. ,2008,Annals of the Association of American Geographers,economics;discussion;center;census;business;impact;working;economic;trade;data
Exports and Local Labor Markets in the Greater Los Angeles Region,2008,Urban Geography,economics;discussion;data;center;census;business;impact;working;economic;labor
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data.,2006,Center for Economic Studies,discussion;center;census;business;firms;economic;paper;working;trade;data
"Participation in Export Markets and Plant Productivity in Los Angeles, 1987-1997",2006,California Center for Population Research,discussion;data;census;business;firms;economic;paper;center;working;productivity
Impacts of trade on wage inequality in Los Angeles: analysis using matched employer-employee data.,2007,California Center for Population Research,economics;discussion;census;business;impact;working;economic;center;trade;data
Post-merger restructuring and the boundaries of the firm,2011,Journal of Financial Economics,economic;discussion;data;center;census;business;impact;journal;economics;firm
The Industry Life Cycle and Acquisitions and Investment: Does Firm Organization Matter?,2005,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;firm
Post-Merger Restructuring and the Boundaries of the Firm,2011,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;firm
Post-merger restructuring and the boundaries of the firm,2013,"J. Harold Mulherin, ed. Mergers and Acquisitions",economics;economic;discussion;data;center;census;business;impact;working;firm
The Industry Life-Cycle and Financial Dependence: Does Firm Organization Matter?,2008,Journal of Finance,economics;economic;discussion;data;center;census;business;impact;journal;firm
How is Value Created in Spin-Offs? A Look Inside the Black Box,2005,Center for Economic Studies,business;firms;economic;studies;center;working;firm;evidence;census;papers
Diversification Discount or Premium? New Evidence from BITS Establishment-Level Data,2001,Center for Economic Studies,business;firms;economic;studies;center;working;census;papers;evidence;data
Diversification Discount or Premium? New Evidence from the Business Information Tracking Series,2004,The Journal of Finance,economics;economic;discussion;center;census;impact;journal;business;data;evidence
The Demand for Dependent Health Insurance: How Important is the Marginal Cost of Family Coverage?,2005,Journal of Health Economics,evidence;economic;discussion;data;center;census;business;impact;journal;economics
Workers' Decisions to Take-Up Offered Health Insurance Coverage: Assessing the Importance of Out-of-Pocket Premium Cost,2003,Medical Care,evidence;economics;economic;discussion;data;center;census;business;impact;working
A Closer Look at the Managed Care Backlash,2006,Medical Care,evidence;economics;economic;discussion;data;center;census;business;impact;working
The Effect of SCHIP Expansions on Health Insurance Decisions by Employers,2005,Inquiry,evidence;economics;economic;discussion;data;center;census;business;impact;working
Employer Choices of Family Premium Sharing,2006,International Journal of Health Care Finance and Economics,evidence;economic;discussion;data;center;census;business;impact;journal;economics
Horizontal Diversification and Vertical Contracting: Firm Scope and Asset Ownership in Taxi Fleets,2008,Center for Economic Studies,business;economic;studies;center;working;firm;impact;productivity;census;papers
"Diversification, Organizational Adjustment and Firm Performance: Evidence from Microdata",2007,Center for Economic Studies,economic;studies;center;working;firm;evidence;impact;productivity;census;papers
"Information Technology, Capabilities and Asset Ownership: Evidence from Taxicab Fleets",2009,Center for Economic Studies,firm;economic;studies;center;working;evidence;impact;productivity;census;papers
"Information Technology, Productivity, and Asset Ownership: Evidence from Taxicab Fleets",2013,Organization Science,data;center;census;business;firms;working;rdc;evidence;impact;productivity
Stability and Change in Individual Determinants of Migration: Evidence from 1985-1990 and 1995 to 2000,2006,Center for Economic Studies,data;business;firms;economic;studies;center;working;evidence;census;papers
Using the Survey of Plant Capacity to Measure Capital Utilization,2011,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Residential Mobility Across Local Areas in the United States and the Geographic Distribution of the Healthy Population,2014,Demography,economics;economic;discussion;data;center;census;business;impact;working;rdc
Residential Mobility across Local Areas in the United States and the Geographic Distribution of the Healthy Population,2014,Center for Economic Studies,census;business;firms;working;economic;rdc;paper;studies;center;discussion
Relocation patterns in U.S. manufacturing,2006,Federal Reserve Bank of Cleveland,economic;discussion;data;center;census;business;firms;working;papers;manufacturing
Cross-Sectoral Variation in the Volatility of Plant-Level Idiosyncratic Shocks,2015,Journal of Industrial Economics,discussion;data;center;census;business;firms;rdc;journal;economics;manufacturing
Productivity and Employment Dynamics of U.S. Manufacturing Plants,2015,Economics Letters,data;center;census;business;firms;working;rdc;productivity;economics;manufacturing
Cross-Sectoral Variation in the Volatility of Plant-Level Idiosyncratic Shocks,2011,NBER,discussion;data;center;census;business;firms;rdc;paper;working;manufacturing
The Importance of Reallocations in Cyclical Productivity and Returns to Scale: Evidence from Plant-Level Data,2007,Center for Economic Studies,economic;studies;center;working;evidence;productivity;census;papers;data;manufacturing
Entry and Exit of Manufacturing Plants over the Business Cycle,2015,European Economic Review,discussion;data;center;census;firms;working;economic;rdc;business;manufacturing
Geographic Redistribution of the U.S. Manufacturing and The Role of State Development Policy,2007,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;manufacturing
The Evolution of the Energy Star Industrial Energy Performance Indicator for Benchmarking Plant Level Manufacturing Energy Use,2008,Journal of Cleaner Production,economic;discussion;data;center;census;business;firms;paper;journal;manufacturing
Estimating the Distribution of Plant-Level Manufacturing Energy Efficiency with Stochastic Frontier Regression,2007,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;manufacturing
 Development of a Performance-based Industrial Energy Efficiency Indicator for Corn Refining Plants,2006, Argonne National Laboratory,economics;economic;discussion;data;center;census;impact;working;business;manufacturing
Development of a Performance-based Industrial Energy Efficiency Indicator for Cement Manufacturing Plants,2006, Argonne National Laboratory,economics;economic;discussion;data;center;census;impact;working;business;manufacturing
Measuring Plant Level Energy Efficiency When Production Activities Are Not Homogeneous: The ENERGY STAR Energy Performance Indicator,2005,Proceedings - 2005 ACEEE Summer Study on Energy Efficiency in Industry CUTTING THE HIGH COST OF ENERGY,economics;economic;discussion;data;center;census;business;impact;working;manufacturing
Motivating Industrial Energy Efficiency through Performance-based Indicators,2005,Proceedings - 2005 ACEEE Summer Study on Energy Efficiency in Industry CUTTING THE HIGH COST OF ENERGY,economics;economic;discussion;data;center;census;business;impact;working;manufacturing
"The Impact of Minimum Quality Standards on Firm Entry, Exit and Product Quality: The Case of the Child Care Market",2005,Center for Economic Studies,business;economic;studies;center;working;firm;census;papers;impact;market
The Impact of Regulation on Supply and Quality of Care in the Childcare Market,2011,American Economic Review,economics;discussion;data;center;census;business;working;economic;market;impact
The Impact of Regulations on the Supply and Quality of Care in Child Care Markets,2010,Unknown,discussion;data;center;census;business;firms;working;mimeo;market;impact
Black-White Differences in Intergenerational Economic Mobility in the United States,2014,Economic Perspectives,economics;discussion;data;center;census;business;impact;working;rdc;economic
Parental Earnings and Children's Well-Being: An Analysis of the Survey of Income and Program Participation Matched to Social Security Administration Earnings Data,2013,Economic Inquiry,economics;discussion;center;census;business;impact;working;economic;rdc;data
An Analysis of Sample Selection and the Reliability of Using Short-term Earnings Averages in SIPP-SSA Matched Data,2011,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;data
Parental Earnings and Children's Well-Being and Future Success: An Analysis of the SIPP Matched to SSA Earnings Data,2011,Center for Economic Studies,business;firms;working;economic;rdc;paper;studies;center;discussion;data
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,"Stockholm University, Swedish Institute for Social Research",economic;discussion;data;center;census;business;firms;paper;working;university
Black-White Differences in Intergenerational Economic Mobility in the U.S,2011,Center for Economic Studies,census;business;firms;working;rdc;paper;studies;center;discussion;economic
"A Comparison of Upward and Downward Intergenerational Mobility in Canada, Sweden and the United States",2014,Labour Economics,economic;discussion;data;center;census;business;impact;working;rdc;economics
Does Employment Protection Reduce Productivity? Evidence from US States,2007,The Economic Journal,data;center;census;business;firms;economic;evidence;journal;productivity;manufacturing
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2009,Journal of Financial Economics,economic;discussion;data;center;census;business;impact;journal;economics;manufacturing
"Taxation, Corruption, and Growth",2016,European Economic Review,discussion;data;center;census;business;firms;working;economic;rdc;manufacturing
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2007,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;manufacturing
"Taxation, Corruption and Growth",2016,NBER,discussion;data;center;census;business;firms;rdc;paper;working;manufacturing
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,IZA Discussion Papers,business;firm;working;discussion;evidence;labor;productivity;papers;economics;manufacturing
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,NBER,center;census;business;firms;economic;working;evidence;productivity;papers;manufacturing
Do Employment Protections Reduce Productivity? Evidence from U.S. States,2007,Center for Economic Studies,firm;economic;studies;center;working;evidence;productivity;census;papers;manufacturing
"Democratizing Entry: Banking Deregulations, Financing Constraints, and Entrepreneurship",2008,Harvard Business School,economic;discussion;data;center;census;firms;working;papers;manufacturing;business
Efficiency Implications of Corporate Diversification: Evidence from Micro Data,2006,Center for Economic Studies,business;firms;economic;studies;center;working;census;papers;evidence;data
The Role of Technological and Industrial Heterogeneity In Technology Diffusion: a Markovian Approach,2003,Center for Economic Studies,business;firms;economic;studies;center;working;evidence;census;papers;data
Technology Use and Worker Outcomes: Direct Evidence from Linked Employee-Employer Data,2000,Center for Economic Studies,business;firms;economic;studies;center;working;census;papers;evidence;data
High-Involvement Work Practices and the Opportunities for Promotion in the Organization,2014,Industrial Relations,economics;economic;discussion;data;center;census;business;impact;working;rdc
The Performance of Industrial Sector Voluntary Climate Programs: Climate Wise and 1605(b),2012,Energy Policy,economics;economic;discussion;center;census;business;impact;working;rdc;data
Data Edits and Imputations for 2002 MEPS-IC Simulation of Claims Payment,2008,Center for Economic Studies,economics;discussion;business;impact;working;economic;studies;center;census;data
Creating Plan Actuarial Values for the 2002 MEPS-IC Sample,2006,Center for Economic Studies,economics;discussion;data;business;impact;working;economic;studies;center;census
"Generosity and Adjusted Premiums in Job-Based Insurance: Hawaii is up, Wyoming is down",2006,Health Affairs,evidence;economics;economic;discussion;data;center;census;business;impact;working
Capacity use in multi-unit firms: evidence for efficiency gains or strategic competition in the US restaurant industry?,2011,Applied Economics,discussion;data;center;census;business;impact;working;evidence;firms;economics
Residual Claims and Incentives in Restaurant Chains,2006,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
The Production Decisions of Large Competitors: Detecting Cost Advantages and Strategic Behavior in Restaurants,2006,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
Price markups in oligopoly models with differentiated products,2008,Economics Bulletin,evidence;economic;discussion;data;center;census;business;impact;working;economics
"Leasing, Ability to Repossess, and Debt Capacity",2009,Review of Financial Studies,economics;economic;discussion;data;center;census;business;impact;working;studies
"Leasing, Ability to Repossess, and Debt Capacity",2006,Society for Economic Dynamics,economics;discussion;data;center;census;business;impact;working;economic;papers
"Leasing, Ability to Repossess, and Debt Capacity",2007,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
New or Used? Investment with Credit Constraints,2007,Journal of Monetary Economics,evidence;economic;discussion;data;center;census;business;impact;journal;economics
Surviving Credit Market Competition,2014,Economic Inquiry,data;center;census;business;firms;working;economic;rdc;impact;market
Why Are Plant Deaths Countercyclical: Reallocation Timing or Fragility?,2006,Federal Reserve Board of Governors Finance and Economics Discussion Paper,economic;data;center;census;impact;working;paper;discussion;business;economics
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2009,Labour Economics,evidence;economic;discussion;data;center;census;impact;working;business;economics
Why Are Plant Deaths Countercyclical: Reallocation Timing or Fragility?,2006,Center for Economic Studies,discussion;data;firms;economic;studies;center;working;business;census;papers
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2006, Federal Reserve Board of Governors Finance and Economics Discussion Paper,economic;data;center;census;impact;working;paper;discussion;business;economics
Explaining Cyclical Movements in Employment: Creative-Destruction or Changes in Utilization?,2006,Center for Economic Studies,discussion;data;firms;economic;studies;center;working;business;census;papers
How Does Geography Matter in Ethnic Labor Market Segmentation Process? A Case Study of Chinese Immigrants in the San Francisco CMSA,2007,Center for Economic Studies,business;firm;economic;studies;center;working;census;papers;labor;market
Linking Home to Work: Ethnic Labor Market Concentration in the San Francisco CMSA,2006,Urban Geography,economic;discussion;data;center;census;business;firms;working;labor;market
How Does Geography Matter in the Ethnic Labor Market Segmentation Process? A Case Study of Chinese Immigrants in the San Francisco CMSA,2010,Annals of the Association of American Geographers,economic;discussion;data;center;census;business;firms;working;labor;market
Information Systems for Collaborating versus Transacting: Impact on Plant Performance in the Presence of Demand Volatility,2011,"University of Michigan, Ross School of Business",center;census;firm;working;rdc;mimeo;university;business;impact;manufacturing
IT for Information-Based Partnerships: Empirical Analysis of Environmental Contingencies to Value Co-Creation,2009,Center for Economic Studies,data;business;firms;economic;studies;center;working;census;papers;manufacturing
"Electronic Networking Technologies, Innovation Misfit, and Plant Performance",2010,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;manufacturing
Information Systems for Collaborating Versus Transacting: Impact on Manufacturing Plant Performance in the Presence of Demand Volatility,2013,Journal of Operations Management,discussion;data;center;census;business;firms;rdc;journal;impact;manufacturing
The Return to Knowledge Hierarchies,2007,NBER,economics;discussion;data;center;census;business;impact;economic;working;papers
The Returns to Knowledge Hierarchies,2016,"Journal of Law, Economics, and Organization",economic;discussion;data;center;census;business;impact;journal;university;economics
Learning about the Nature of Production from Equilibrium Assignment Patterns,2012,Journal of Economic Behavior and Organization,economics;discussion;data;center;census;business;impact;economic;rdc;journal
The Returns to Knowledge Hierarchies,2016,LSE Research Online Documents on Economics,evidence;economic;discussion;data;center;census;business;impact;working;economics
The Return to Knowledge Hierarchies,2007,Center for Economic Studies,discussion;data;business;firms;economic;studies;center;working;census;papers
The Return to Knowledge Hierarchies,2007,CEPR,economics;economic;data;center;census;business;impact;working;discussion;papers
Crises and Confidence: Systemic Banking Crises and Depositor Behavior,2014,Journal of Financial Economics,economic;discussion;data;center;census;business;impact;rdc;journal;economics
Impacts of Central Business District Location: A Hedonic Analysis of Legal Service Establishments,2011,Center for Economic Studies,census;firms;working;economic;paper;studies;center;discussion;labor;business
The Dynamics of House Price Capitalization and Locational Sorting: Evidence from Air Quality Changes,2012,Center for Economic Studies,firm;working;economic;rdc;paper;studies;center;discussion;evidence;labor
Valuing the Benefits of Superfund Site Remediation: Three Approaches to Measuring Localized Externalities,2011,NBER,discussion;data;center;census;business;firms;rdc;paper;working;labor
The Dynamics of House Price Responsiveness and Locational Sorting: Evidence from Air Quality Changes,2015,Regional Science and Urban Economics,data;center;census;business;firms;working;rdc;evidence;labor;economics
Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits,2012,Duke Environmental Economics,center;census;business;firms;rdc;paper;working;evidence;labor;economics
Amenity Values of Permanently Protected Open Space,2011,Center for Environmental and Resource Economic Policy,data;census;business;firms;economic;rdc;paper;center;working;labor
Amenity Values of Proximity to National Wildlife Refuges,2011,"Final Report to Fish and Wildlife Service, US Department of the Interior",economic;discussion;data;center;census;business;firms;working;rdc;labor
Does Cleanup of Hazardous Waste Sites Raise Housing Values? Evidence of Spatially Localized Benefits,2013,Journal of Environmental Economics and Management,data;center;census;business;firms;rdc;evidence;labor;journal;economics
"Small Homes, Public Schools, and Property Tax Capitalization",2013,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;labor
Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values,2013,"Working Papers in Economics, University of Gothenburg, Department of Economics",data;center;census;business;firms;working;labor;university;papers;economics
Amenity values of proximity to National Wildlife Refuges: An analysis of urban residential property values,2013,Ecological Economics,economic;discussion;data;center;census;business;impact;working;labor;economics
An Integrated Model of Regional and Local Residential Sorting with Application to Air Quality,2015,Journal of Environmental Economics and Management,discussion;data;center;census;business;firms;rdc;labor;journal;economics
"Small Homes, Public Schools, and Property Tax Capitalization",2013,Regional Science and Urban Economics,discussion;data;center;census;business;firms;working;rdc;labor;economics
The Dynamics of Air Quality Capitalization and Locational Sorting in the Housing Market,2011,Cornell University,center;census;business;firm;working;rdc;mimeo;labor;university;market
"Professional Employer Organizations: What Are They, Who Uses Them and Why Should We Care?",2010,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;market
Manufacturing Plants' Use of Temporary Workers: An Analysis Using Census Microdata,2013,Industrial Relations,discussion;data;center;business;firms;working;rdc;census;manufacturing;market
Mergers and Sunk Costs: An Application to the Ready-Mix Concrete Industry,2014,American Economic Journal: Microeconomics,economics;discussion;data;center;census;business;impact;economic;rdc;journal
Entry and Exit in the Ready-Mix Concrete Industry,2007,Northwestern University,economics;economic;discussion;data;center;census;business;impact;working;university
Demand Fluctuations in the Ready-Mix Concrete Industry,2013,Econometrica,economics;economic;discussion;data;center;census;business;impact;working;rdc
Productivity Dispersion and Plant Selection in the Ready-Mix Concrete Industry,2011,Center for Economic Studies,business;firm;working;economic;rdc;paper;studies;center;discussion;productivity
Randomized Safety Inspections and Risk of Exposure on the Job: Quasi-Experimental Estimates of the Value of a Statistical Life,2013,North Carolina State University,data;center;census;business;firms;working;economic;rdc;mimeo;university
